,Parcel ID,Address,sale_date,year,month,year-month,sale_price,yr_built,square_feet,price_sf,lat,long,GEOID,Sub_geo,geometry
9412,52422014,130 BROOKRIDGE CT,6/16/21,2021,6,2021-6,379000,2000,2493,152.0256719,33.443531,-84.4350315,13113140410,Fayetteville,POINT (-84.4350315 33.443531)
12409,54602001,320 CORINTH RD,2/14/22,2022,2,2022-2,225000,1984,1480,152.027027,33.489511,-84.414593,13113140102,Fayetteville,POINT (-84.414593 33.489511)
6322,50302015,384 OLD SENOIA RD,3/26/20,2020,3,2020-3,329000,1995,2164,152.0332717,33.404127,-84.469727,13113140405,Fayetteville,POINT (-84.469727 33.404127)
2288,60806044,500 ATWOOD CIR,2/8/19,2019,2,2019-2,310000,1989,2039,152.0353114,33.3621059,-84.5471583,13113140309,South Fayette,POINT (-84.5471583 33.3621059)
14049,52008002,200 BAYWATCH CIR,8/3/21,2021,8,2021-8,336000,2004,2210,152.0361991,33.4324529,-84.4085462,13113140410,Fayetteville,POINT (-84.4085462 33.4324529)
2445,73802010,495 LAUREL CIR,12/20/21,2021,12,2021-12,260000,1977,1710,152.0467836,33.4762507,-84.6011979,13113140203,West Fayette,POINT (-84.6011979 33.4762507)
2348,51621001,210 SADDLE RIDGE WAY,12/20/21,2021,12,2021-12,378000,1998,2486,152.0514883,33.4215568,-84.4753621,13113140404,Fayetteville,POINT (-84.4753621 33.4215568)
7503,60805048,318 MARBLE CT,12/11/20,2020,12,2020-12,378000,1991,2486,152.0514883,33.357066,-84.5453363,13113140309,South Fayette,POINT (-84.5453363 33.357066)
8450,50406007,125 COURTLAND DR,2/8/23,2023,2,2023-2,392000,1988,2578,152.0558573,33.3958376,-84.439236,13113140408,South Fayette,POINT (-84.439236 33.3958376)
9522,73208041,242 TWIGGS COR,6/4/21,2021,6,2021-6,170000,1972,1118,152.0572451,33.396521,-84.5864329,13113140303,West Fayette,POINT (-84.5864329 33.396521)
